sent1,sent2,label,strategy,sent1_emoji,sent1_emoji_unicode,extracted
This is pinching_hand [EM] factory.,This is short money.,0,6,This is 🤏 🏭,This is {1F90F} {1F3ED},"pinching_hand, factory"
This is smiling_face_with_tear [EM] pinching_hand [EM] airplane [EM] shinto_shrine.,This is short money.,0,6,This is 🥲 🤏 ✈ ⛩,This is {1F972} {1F90F} {2708} {26E9},"smiling_face_with_tear, pinching_hand, airplane, shinto_shrine"
This is hourglass_done [EM] spiral_calendar.,This is short money.,0,6,This is ⌛ 🗓,This is {231B} {1F5D3},"hourglass_done, spiral_calendar"
This is pinching_hand [EM] luggage [EM] baggage_claim.,This is short money.,0,6,This is 🤏 🧳 🛄,This is {1F90F} {1F9F3} {1F6C4},"pinching_hand, luggage, baggage_claim"
This is pinching_hand [EM] woman_getting_haircut.,This is short money.,0,6,This is 🤏 💇‍♀,This is {1F90F} {1F487 + 200D + 2640},"pinching_hand, woman_getting_haircut"
This is pinching_hand [EM] light_bulb [EM] high_voltage.,This is short flight.,0,6,This is 🤏 💡 ⚡,This is {1F90F} {1F4A1} {26A1},"pinching_hand, light_bulb, high_voltage"
This is money_bag [EM] money_with_wings [EM] pensive_face.,This is short flight.,0,6,This is 💰 💸 😔,This is {1F4B0} {1F4B8} {1F614},"money_bag, money_with_wings, pensive_face"
This is hourglass_not_done [EM] spiral_calendar [EM] calendar.,This is short flight.,0,6,This is ⏳ 🗓 📅,This is {23F3} {1F5D3} {1F4C5},"hourglass_not_done, spiral_calendar, calendar"
This is shorts [EM] beach_with_umbrella.,This is short flight.,0,6,This is 🩳 🏖,This is {1FA73} {1F3D6},"shorts, beach_with_umbrella"
This is fast_down_button [EM] coat [EM] woman’s_clothes [EM] t-shirt [EM] jeans.,This is short flight.,0,6,This is ⏬ 🧥 👚 👕 👖,This is {23EC} {1F9E5} {1F45A} {1F455} {1F456},"fast_down_button, coat, woman’s_clothes, t-shirt, jeans"
This is fast_down_button [EM] cooked_rice [EM] steaming_bowl.,This is short flight.,0,6,This is ⏬ 🍚 🍜,This is {23EC} {1F35A} {1F35C},"fast_down_button, cooked_rice, steaming_bowl"
This is family_man_woman_girl_girl [EM] backhand_index_pointing_right [EM] skull [EM] family_man_woman_girl.,This is short flight.,0,6,This is 👨‍👩‍👧‍👧 👉 💀 👨‍👩‍👧,This is {1F468 + 200D + 1F469 + 200D + 1F467 + 200D + 1F467} {1F449} {1F480} {1F468 + 200D + 1F469 + 200D + 1F467},"family_man_woman_girl_girl, backhand_index_pointing_right, skull, family_man_woman_girl"
This is airplane_departure [EM] airplane_arrival.,This is short flight.,0,6,This is 🛫 🛬,This is {1F6EB} {1F6EC},"airplane_departure, airplane_arrival"
This is pinching_hand [EM] heavy_dollar_sign.,This is short month.,0,6,This is 🤏 💲,This is {1F90F} {1F4B2},"pinching_hand, heavy_dollar_sign"
This is hourglass_not_done [EM] airplane.,This is short month.,0,6,This is ⏳ ✈,This is {23F3} {2708},"hourglass_not_done, airplane"
This is shorts [EM] passenger_ship [EM] dashing_away.,This is short month.,0,6,This is 🩳 🛳 💨,This is {1FA73} {1F6F3} {1F4A8},"shorts, passenger_ship, dashing_away"
This is pinching_hand [EM] beach_with_umbrella.,This is short month.,0,6,This is 🤏 🏖,This is {1F90F} {1F3D6},"pinching_hand, beach_with_umbrella"
This is cross_mark [EM] pencil [EM] axe [EM] wrench.,This is short month.,0,6,This is ❌ ✏ 🪓 🔧,This is {274C} {270F} {1FA93} {1F527},"cross_mark, pencil, axe, wrench"
This is shorts [EM] airplane.,This is short month.,0,6,This is 🩳 ✈,This is {1FA73} {2708},"shorts, airplane"
This is hourglass_not_done [EM] beach_with_umbrella [EM] airplane [EM] luggage.,This is short month.,0,6,This is ⏳ 🏖 ✈ 🧳,This is {23F3} {1F3D6} {2708} {1F9F3},"hourglass_not_done, beach_with_umbrella, airplane, luggage"
This is shorts [EM] cooked_rice.,This is short month.,0,6,This is 🩳 🍚,This is {1FA73} {1F35A},"shorts, cooked_rice"
This is shorts [EM] airplane.,This is short story.,0,6,This is 🩳 ✈,This is {1FA73} {2708},"shorts, airplane"
This is hourglass_not_done [EM] spiral_calendar [EM] calendar.,This is short story.,0,6,This is ⏳ 🗓 📅,This is {23F3} {1F5D3} {1F4C5},"hourglass_not_done, spiral_calendar, calendar"
This is pinching_hand [EM] sheaf_of_rice.,This is short story.,0,6,This is 🤏 🌾,This is {1F90F} {1F33E},"pinching_hand, sheaf_of_rice"
This is pinching_hand [EM] skull_and_crossbones.,This is short story.,0,6,This is 🤏 ☠,This is {1F90F} {2620},"pinching_hand, skull_and_crossbones"
This is pinching_hand [EM] skull_and_crossbones.,This is short story.,0,6,This is 🤏 ☠,This is {1F90F} {2620},"pinching_hand, skull_and_crossbones"
This is pinching_hand [EM] hourglass_done [EM] spiral_calendar.,This is short story.,0,6,This is 🤏 ⌛ 🗓,This is {1F90F} {231B} {1F5D3},"pinching_hand, hourglass_done, spiral_calendar"
This is pinching_hand [EM] roasted_sweet_potato [EM] bread [EM] egg.,This is short story.,0,6,This is 🤏 🍠 🍞 🥚,This is {1F90F} {1F360} {1F35E} {1F95A},"pinching_hand, roasted_sweet_potato, bread, egg"
This is pinching_hand [EM] airplane.,This is short story.,0,6,This is 🤏 ✈,This is {1F90F} {2708},"pinching_hand, airplane"
This is pinching_hand [EM] woman_getting_haircut.,This is short life.,0,6,This is 🤏 💇‍♀,This is {1F90F} {1F487 + 200D + 2640},"pinching_hand, woman_getting_haircut"
This is pinching_hand [EM] light_bulb [EM] high_voltage.,This is short life.,0,6,This is 🤏 💡 ⚡,This is {1F90F} {1F4A1} {26A1},"pinching_hand, light_bulb, high_voltage"
This is left-right_arrow [EM] desert_island [EM] bottle_with_popping_cork [EM] person_getting_massage [EM] person_in_steamy_room [EM] person_in_lotus_position.,This is short life.,0,6,This is ↔ 🏝 🍾 💆 🧖 🧘,This is {2194} {1F3DD} {1F37E} {1F486} {1F9D6} {1F9D8},"left-right_arrow, desert_island, bottle_with_popping_cork, person_getting_massage, person_in_steamy_room, person_in_lotus_position"
This is hot_springs [EM] lungs [EM] dashing_away.,This is short life.,0,6,This is ♨ 🫁 💨,This is {2668} {1FAC1} {1F4A8},"hot_springs, lungs, dashing_away"
This is hot_springs [EM] lungs [EM] dashing_away.,This is short life.,0,6,This is ♨ 🫁 💨,This is {2668} {1FAC1} {1F4A8},"hot_springs, lungs, dashing_away"
This is woman_getting_haircut.,This is short life.,0,6,This is 💇‍♀,This is {1F487 + 200D + 2640},
This is left-right_arrow [EM] desert_island [EM] bottle_with_popping_cork [EM] person_getting_massage [EM] person_in_steamy_room [EM] person_in_lotus_position.,This is short life.,0,6,This is ↔ 🏝 🍾 💆 🧖 🧘,This is {2194} {1F3DD} {1F37E} {1F486} {1F9D6} {1F9D8},"left-right_arrow, desert_island, bottle_with_popping_cork, person_getting_massage, person_in_steamy_room, person_in_lotus_position"
This is pinching_hand [EM] nut_and_bolt [EM] gear.,This is short life.,0,6,This is 🤏 🔩 ⚙,This is {1F90F} {1F529} {2699},"pinching_hand, nut_and_bolt, gear"
This is confounded_face [EM] foot.,This is dirty job.,0,6,This is 😖 🦶,This is {1F616} {1F9B6},"confounded_face, foot"
This is man_standing [EM] nauseated_face.,This is dirty job.,0,6,This is 🧍‍♂ 🤢,This is {1F9CD + 200D + 2642} {1F922},"man_standing, nauseated_face"
This is nose [EM] foot [EM] nauseated_face.,This is dirty job.,0,6,This is 👃 🦶 🤢,This is {1F443} {1F9B6} {1F922},"nose, foot, nauseated_face"
This is microbe [EM] zipper-mouth_face [EM] money-mouth_face [EM] money_with_wings [EM] microbe.,This is dirty job.,0,6,This is 🦠 🤐 🤑 💸 🦠,This is {1F9A0} {1F910} {1F911} {1F4B8} {1F9A0},"microbe, zipper-mouth_face, money-mouth_face, money_with_wings, microbe"
This is expressionless_face [EM] unamused_face [EM] boxing_glove.,This is dirty job.,0,6,This is 😑 😒 🥊,This is {1F611} {1F612} {1F94A},"expressionless_face, unamused_face, boxing_glove"
This is thumbs_down [EM] derelict_house.,This is dirty job.,0,6,This is 👎 🏚,This is {1F44E} {1F3DA},"thumbs_down, derelict_house"
This is nauseated_face [EM] foot.,This is dirty job.,0,6,This is 🤢 🦶,This is {1F922} {1F9B6},"nauseated_face, foot"
This is face_with_spiral_eyes [EM] confounded_face [EM] backhand_index_pointing_right [EM] bathtub.,This is dirty job.,0,6,This is 😵‍💫 😖 👉 🛁,This is {1F635 + 200D + 1F4AB} {1F616} {1F449} {1F6C1},"face_with_spiral_eyes, confounded_face, backhand_index_pointing_right, bathtub"
This is thumbs_down [EM] derelict_house.,This is dirty foot.,0,6,This is 👎 🏚,This is {1F44E} {1F3DA},"thumbs_down, derelict_house"
This is nauseated_face [EM] luggage.,This is dirty foot.,0,6,This is 🤢 🧳,This is {1F922} {1F9F3},"nauseated_face, luggage"
This is face_vomiting [EM] dress [EM] woman’s_clothes.,This is dirty foot.,0,6,This is 🤮 👗 👚,This is {1F92E} {1F457} {1F45A},"face_vomiting, dress, woman’s_clothes"
This is thumbs_down [EM] coat.,This is dirty foot.,0,6,This is 👎 🧥,This is {1F44E} {1F9E5},"thumbs_down, coat"
This is pile_of_poo [EM] kimono.,This is dirty foot.,0,6,This is 💩 👘,This is {1F4A9} {1F458},"pile_of_poo, kimono"
This is face_vomiting [EM] hammer_and_wrench.,This is dirty foot.,0,6,This is 🤮 🛠,This is {1F92E} {1F6E0},"face_vomiting, hammer_and_wrench"
This is pile_of_poo [EM] briefcase.,This is dirty foot.,0,6,This is 💩 💼,This is {1F4A9} {1F4BC},"pile_of_poo, briefcase"
This is plunger [EM] toilet [EM] broom.,This is dirty foot.,0,6,This is 🪠 🚽 🧹,This is {1FAA0} {1F6BD} {1F9F9},"plunger, toilet, broom"
This is nauseated_face [EM] luggage.,This is dirty dish.,0,6,This is 🤢 🧳,This is {1F922} {1F9F3},"nauseated_face, luggage"
This is soap [EM] microbe [EM] derelict_house.,This is dirty dish.,0,6,This is 🧼 🦠 🏚,This is {1F9FC} {1F9A0} {1F3DA},"soap, microbe, derelict_house"
This is face_with_spiral_eyes [EM] confounded_face [EM] backhand_index_pointing_right [EM] bathtub.,This is dirty dish.,0,6,This is 😵‍💫 😖 👉 🛁,This is {1F635 + 200D + 1F4AB} {1F616} {1F449} {1F6C1},"face_with_spiral_eyes, confounded_face, backhand_index_pointing_right, bathtub"
This is persevering_face [EM] no_one_under_eighteen [EM] money_with_wings.,This is dirty dish.,0,6,This is 😣 🔞 💸,This is {1F623} {1F51E} {1F4B8},"persevering_face, no_one_under_eighteen, money_with_wings"
This is nauseated_face [EM] luggage.,This is dirty dish.,0,6,This is 🤢 🧳,This is {1F922} {1F9F3},"nauseated_face, luggage"
This is microbe [EM] hut [EM] microbe.,This is dirty dish.,0,6,This is 🦠 🛖 🦠,This is {1F9A0} {1F6D6} {1F9A0},"microbe, hut, microbe"
This is thumbs_down [EM] foot.,This is dirty dish.,0,6,This is 👎 🦶,This is {1F44E} {1F9B6},"thumbs_down, foot"
This is face_with_spiral_eyes [EM] confounded_face [EM] backhand_index_pointing_right [EM] bathtub.,This is dirty dish.,0,6,This is 😵‍💫 😖 👉 🛁,This is {1F635 + 200D + 1F4AB} {1F616} {1F449} {1F6C1},"face_with_spiral_eyes, confounded_face, backhand_index_pointing_right, bathtub"
This is pile_of_poo [EM] oncoming_fist [EM] boxing_glove.,This is dirty slum.,0,6,This is 💩 👊 🥊,This is {1F4A9} {1F44A} {1F94A},"pile_of_poo, oncoming_fist, boxing_glove"
This is face_with_symbols_on_mouth [EM] enraged_face.,This is dirty slum.,0,6,This is 🤬 😡,This is {1F92C} {1F621},"face_with_symbols_on_mouth, enraged_face"
This is pile_of_poo [EM] dollar_banknote [EM] money_bag.,This is dirty slum.,0,6,This is 💩 💵 💰,This is {1F4A9} {1F4B5} {1F4B0},"pile_of_poo, dollar_banknote, money_bag"
This is face_with_spiral_eyes [EM] confounded_face [EM] backhand_index_pointing_right [EM] bathtub.,This is dirty slum.,0,6,This is 😵‍💫 😖 👉 🛁,This is {1F635 + 200D + 1F4AB} {1F616} {1F449} {1F6C1},"face_with_spiral_eyes, confounded_face, backhand_index_pointing_right, bathtub"
This is pile_of_poo [EM] jeans.,This is dirty slum.,0,6,This is 💩 👖,This is {1F4A9} {1F456},"pile_of_poo, jeans"
This is face_vomiting [EM] nauseated_face [EM] man_construction_worker.,This is dirty slum.,0,6,This is 🤮 🤢 👷‍♂,This is {1F92E} {1F922} {1F477 + 200D + 2642},"face_vomiting, nauseated_face, man_construction_worker"
This is cross_mark [EM] balance_scale [EM] flexed_biceps [EM] man_bald [EM] anger_symbol.,This is dirty slum.,0,6,This is ❌ ⚖ 💪 👨‍🦲 💢,This is {274C} {2696} {1F4AA} {1F468 + 200D + 1F9B2} {1F4A2},"cross_mark, balance_scale, flexed_biceps, man_bald, anger_symbol"
This is toilet [EM] construction_worker [EM] hammer_and_wrench.,This is dirty slum.,0,6,This is 🚽 👷 🛠,This is {1F6BD} {1F477} {1F6E0},"toilet, construction_worker, hammer_and_wrench"
This is pile_of_poo [EM] briefcase.,This is dirty work.,0,6,This is 💩 💼,This is {1F4A9} {1F4BC},"pile_of_poo, briefcase"
This is thumbs_down [EM] coat.,This is dirty work.,0,6,This is 👎 🧥,This is {1F44E} {1F9E5},"thumbs_down, coat"
This is smiling_face_with_horns [EM] dollar_banknote [EM] dollar_banknote [EM] prohibited [EM] backhand_index_pointing_right [EM] police_officer.,This is dirty work.,0,6,This is 😈 💵 💵 🚫 👉 👮,This is {1F608} {1F4B5} {1F4B5} {1F6AB} {1F449} {1F46E},"smiling_face_with_horns, dollar_banknote, dollar_banknote, prohibited, backhand_index_pointing_right, police_officer"
This is soap [EM] t-shirt.,This is dirty work.,0,6,This is 🧼 👕,This is {1F9FC} {1F455},"soap, t-shirt"
This is nauseated_face [EM] luggage.,This is dirty work.,0,6,This is 🤢 🧳,This is {1F922} {1F9F3},"nauseated_face, luggage"
This is hot_face [EM] foot [EM] pile_of_poo.,This is dirty work.,0,6,This is 🥵 🦶 💩,This is {1F975} {1F9B6} {1F4A9},"hot_face, foot, pile_of_poo"
This is confounded_face [EM] foot.,This is dirty work.,0,6,This is 😖 🦶,This is {1F616} {1F9B6},"confounded_face, foot"
This is angry_face_with_horns [EM] oncoming_fist [EM] boxing_glove [EM] people_wrestling.,This is dirty work.,0,6,This is 👿 👊 🥊 🤼,This is {1F47F} {1F44A} {1F94A} {1F93C},"angry_face_with_horns, oncoming_fist, boxing_glove, people_wrestling"
This is face_vomiting [EM] martial_arts_uniform.,This is dirty money.,0,6,This is 🤮 🥋,This is {1F92E} {1F94B},"face_vomiting, martial_arts_uniform"
This is soap [EM] fork_and_knife_with_plate [EM] petri_dish.,This is dirty money.,0,6,This is 🧼 🍽 🧫,This is {1F9FC} {1F37D} {1F9EB},"soap, fork_and_knife_with_plate, petri_dish"
This is plunger [EM] toilet [EM] broom [EM] money_bag [EM] old_woman [EM] old_man.,This is dirty money.,0,6,This is 🪠 🚽 🧹 💰 👵 👴,This is {1FAA0} {1F6BD} {1F9F9} {1F4B0} {1F475} {1F474},"plunger, toilet, broom, money_bag, old_woman, old_man"
This is cross_mark [EM] balance_scale [EM] flexed_biceps [EM] man_bald [EM] anger_symbol.,This is dirty money.,0,6,This is ❌ ⚖ 💪 👨‍🦲 💢,This is {274C} {2696} {1F4AA} {1F468 + 200D + 1F9B2} {1F4A2},"cross_mark, balance_scale, flexed_biceps, man_bald, anger_symbol"
This is thumbs_down [EM] derelict_house.,This is dirty money.,0,6,This is 👎 🏚,This is {1F44E} {1F3DA},"thumbs_down, derelict_house"
This is face_vomiting [EM] dress [EM] woman’s_clothes.,This is dirty money.,0,6,This is 🤮 👗 👚,This is {1F92E} {1F457} {1F45A},"face_vomiting, dress, woman’s_clothes"
This is soap [EM] foot.,This is dirty money.,0,6,This is 🧼 🦶,This is {1F9FC} {1F9B6},"soap, foot"
This is cross_mark [EM] balance_scale [EM] flexed_biceps [EM] man_bald [EM] anger_symbol.,This is dirty money.,0,6,This is ❌ ⚖ 💪 👨‍🦲 💢,This is {274C} {2696} {1F4AA} {1F468 + 200D + 1F9B2} {1F4A2},"cross_mark, balance_scale, flexed_biceps, man_bald, anger_symbol"
This is soap [EM] foot.,This is dirty overall.,0,6,This is 🧼 🦶,This is {1F9FC} {1F9B6},"soap, foot"
This is pile_of_poo [EM] money_with_wings [EM] house.,This is dirty overall.,0,6,This is 💩 💸 🏠,This is {1F4A9} {1F4B8} {1F3E0},"pile_of_poo, money_with_wings, house"
This is smiling_face_with_horns [EM] dollar_banknote [EM] dollar_banknote [EM] prohibited [EM] backhand_index_pointing_right [EM] police_officer.,This is dirty overall.,0,6,This is 😈 💵 💵 🚫 👉 👮,This is {1F608} {1F4B5} {1F4B5} {1F6AB} {1F449} {1F46E},"smiling_face_with_horns, dollar_banknote, dollar_banknote, prohibited, backhand_index_pointing_right, police_officer"
This is soap [EM] foot.,This is dirty overall.,0,6,This is 🧼 🦶,This is {1F9FC} {1F9B6},"soap, foot"
This is hot_face [EM] foot [EM] pile_of_poo.,This is dirty overall.,0,6,This is 🥵 🦶 💩,This is {1F975} {1F9B6} {1F4A9},"hot_face, foot, pile_of_poo"
This is face_vomiting [EM] fork_and_knife_with_plate.,This is dirty overall.,0,6,This is 🤮 🍽,This is {1F92E} {1F37D},"face_vomiting, fork_and_knife_with_plate"
This is pile_of_poo [EM] footprints.,This is dirty overall.,0,6,This is 💩 👣,This is {1F4A9} {1F463},"pile_of_poo, footprints"
This is confounded_face [EM] foot.,This is dirty overall.,0,6,This is 😖 🦶,This is {1F616} {1F9B6},"confounded_face, foot"
This is face_vomiting [EM] fork_and_knife_with_plate.,This is dirty fighter.,0,6,This is 🤮 🍽,This is {1F92E} {1F37D},"face_vomiting, fork_and_knife_with_plate"
This is unamused_face [EM] money_bag.,This is dirty fighter.,0,6,This is 😒 💰,This is {1F612} {1F4B0},"unamused_face, money_bag"
This is pile_of_poo [EM] fork_and_knife_with_plate.,This is dirty fighter.,0,6,This is 💩 🍽,This is {1F4A9} {1F37D},"pile_of_poo, fork_and_knife_with_plate"
This is pile_of_poo [EM] dollar_banknote [EM] money_bag.,This is dirty fighter.,0,6,This is 💩 💵 💰,This is {1F4A9} {1F4B5} {1F4B0},"pile_of_poo, dollar_banknote, money_bag"
This is face_vomiting [EM] foot.,This is dirty fighter.,0,6,This is 🤮 🦶,This is {1F92E} {1F9B6},"face_vomiting, foot"
This is microbe [EM] hut [EM] microbe.,This is dirty fighter.,0,6,This is 🦠 🛖 🦠,This is {1F9A0} {1F6D6} {1F9A0},"microbe, hut, microbe"
This is plunger [EM] toilet [EM] broom.,This is dirty fighter.,0,6,This is 🪠 🚽 🧹,This is {1FAA0} {1F6BD} {1F9F9},"plunger, toilet, broom"
This is face_with_spiral_eyes [EM] confounded_face [EM] backhand_index_pointing_right [EM] bathtub.,This is dirty fighter.,0,6,This is 😵‍💫 😖 👉 🛁,This is {1F635 + 200D + 1F4AB} {1F616} {1F449} {1F6C1},"face_with_spiral_eyes, confounded_face, backhand_index_pointing_right, bathtub"
This is national_park.,This is common procedure.,0,6,This is 🏞,This is {1F3DE},
This is palms_up_together [EM] mobile_phone.,This is common procedure.,0,6,This is 🤲 📱,This is {1F932} {1F4F1},"palms_up_together, mobile_phone"
This is fly [EM] neutral_face.,This is common procedure.,0,6,This is 🪰 😐,This is {1FAB0} {1F610},"fly, neutral_face"
This is clapping_hands [EM] boy [EM] person_curly_hair.,This is common procedure.,0,6,This is 👏 👦 🧑‍🦱,This is {1F44F} {1F466} {1F9D1 + 200D + 1F9B1},"clapping_hands, boy, person_curly_hair"
This is shopping_bags [EM] shopping_bags [EM] counterclockwise_arrows_button.,This is common procedure.,0,6,This is 🛍 🛍 🔄,This is {1F6CD} {1F6CD} {1F504},"shopping_bags, shopping_bags, counterclockwise_arrows_button"
This is brain [EM] thinking_face [EM] unamused_face.,This is common procedure.,0,6,This is 🧠 🤔 😒,This is {1F9E0} {1F914} {1F612},"brain, thinking_face, unamused_face"
This is palms_up_together [EM] sailboat [EM] man.,This is common procedure.,0,6,This is 🤲 ⛵ 👨,This is {1F932} {26F5} {1F468},"palms_up_together, sailboat, man"
This is woman_office_worker [EM] speaking_head [EM] briefcase.,This is common procedure.,0,6,This is 👩‍💼 🗣 💼,This is {1F469 + 200D + 1F4BC} {1F5E3} {1F4BC},"woman_office_worker, speaking_head, briefcase"
This is pilot [EM] speedboat.,This is common knowledge.,0,6,This is 🧑‍✈ 🚤,This is {1F9D1 + 200D + 2708} {1F6A4},"pilot, speedboat"
This is clapping_hands [EM] boy [EM] person_curly_hair.,This is common knowledge.,0,6,This is 👏 👦 🧑‍🦱,This is {1F44F} {1F466} {1F9D1 + 200D + 1F9B1},"clapping_hands, boy, person_curly_hair"
This is busts_in_silhouette [EM] mountain.,This is common knowledge.,0,6,This is 👥 ⛰,This is {1F465} {26F0},"busts_in_silhouette, mountain"
This is palms_up_together [EM] sailboat [EM] man.,This is common knowledge.,0,6,This is 🤲 ⛵ 👨,This is {1F932} {26F5} {1F468},"palms_up_together, sailboat, man"
This is busts_in_silhouette [EM] fly.,This is common knowledge.,0,6,This is 👥 🪰,This is {1F465} {1FAB0},"busts_in_silhouette, fly"
This is shopping_bags [EM] shopping_bags [EM] counterclockwise_arrows_button.,This is common knowledge.,0,6,This is 🛍 🛍 🔄,This is {1F6CD} {1F6CD} {1F504},"shopping_bags, shopping_bags, counterclockwise_arrows_button"
This is play_button [EM] boy [EM] boy [EM] boy.,This is common knowledge.,0,6,This is ▶ 👦 👦 👦,This is {25B6} {1F466} {1F466} {1F466},"play_button, boy, boy, boy"
This is palms_up_together [EM] sailboat [EM] man.,This is common knowledge.,0,6,This is 🤲 ⛵ 👨,This is {1F932} {26F5} {1F468},"palms_up_together, sailboat, man"
This is desktop_computer.,This is common land.,0,6,This is 🖥,This is {1F5A5},
This is busts_in_silhouette [EM] weary_face.,This is common land.,0,6,This is 👥 😩,This is {1F465} {1F629},"busts_in_silhouette, weary_face"
This is busts_in_silhouette [EM] fly.,This is common land.,0,6,This is 👥 🪰,This is {1F465} {1FAB0},"busts_in_silhouette, fly"
This is woman_office_worker [EM] speaking_head [EM] briefcase.,This is common land.,0,6,This is 👩‍💼 🗣 💼,This is {1F469 + 200D + 1F4BC} {1F5E3} {1F4BC},"woman_office_worker, speaking_head, briefcase"
This is busts_in_silhouette [EM] clockwise_vertical_arrows.,This is common land.,0,6,This is 👥 🔃,This is {1F465} {1F503},"busts_in_silhouette, clockwise_vertical_arrows"
This is palms_up_together [EM] sailboat [EM] man.,This is common land.,0,6,This is 🤲 ⛵ 👨,This is {1F932} {26F5} {1F468},"palms_up_together, sailboat, man"
This is glasses [EM] clutch_bag [EM] dress [EM] necktie [EM] copyright.,This is common land.,0,6,This is 👓 👝 👗 👔 ©,This is {1F453} {1F45D} {1F457} {1F454} {A9},"glasses, clutch_bag, dress, necktie, copyright"
This is busts_in_silhouette [EM] speaking_head.,This is common land.,0,6,This is 👥 🗣,This is {1F465} {1F5E3},"busts_in_silhouette, speaking_head"
This is fly.,This is common nuisance.,0,6,This is 🪰,This is {1FAB0},
This is palms_up_together [EM] mobile_phone.,This is common nuisance.,0,6,This is 🤲 📱,This is {1F932} {1F4F1},"palms_up_together, mobile_phone"
This is fly [EM] neutral_face.,This is common nuisance.,0,6,This is 🪰 😐,This is {1FAB0} {1F610},"fly, neutral_face"
This is busts_in_silhouette [EM] mountain.,This is common nuisance.,0,6,This is 👥 ⛰,This is {1F465} {26F0},"busts_in_silhouette, mountain"
This is glasses [EM] clutch_bag [EM] dress [EM] necktie [EM] copyright.,This is common nuisance.,0,6,This is 👓 👝 👗 👔 ©,This is {1F453} {1F45D} {1F457} {1F454} {A9},"glasses, clutch_bag, dress, necktie, copyright"
This is face_with_monocle [EM] brain.,This is common nuisance.,0,6,This is 🧐 🧠,This is {1F9D0} {1F9E0},"face_with_monocle, brain"
This is busts_in_silhouette [EM] fly.,This is common nuisance.,0,6,This is 👥 🪰,This is {1F465} {1FAB0},"busts_in_silhouette, fly"
This is counterclockwise_arrows_button [EM] health_worker [EM] syringe.,This is common nuisance.,0,6,This is 🔄 🧑‍⚕ 💉,This is {1F504} {1F9D1 + 200D + 2695} {1F489},"counterclockwise_arrows_button, health_worker, syringe"
This is person_standing [EM] person_standing [EM] person_shrugging.,This is common sailor.,0,6,This is 🧍 🧍 🤷,This is {1F9CD} {1F9CD} {1F937},"person_standing, person_standing, person_shrugging"
This is disguised_face [EM] woman_and_man_holding_hands [EM] palms_up_together.,This is common sailor.,0,6,This is 🥸 👫 🤲,This is {1F978} {1F46B} {1F932},"disguised_face, woman_and_man_holding_hands, palms_up_together"
This is speaking_head [EM] check_mark_button [EM] OK_button.,This is common sailor.,0,6,This is 🗣 ✅ 🆗,This is {1F5E3} {2705} {1F197},"speaking_head, check_mark_button, OK_button"
This is woman_office_worker [EM] speaking_head [EM] briefcase.,This is common sailor.,0,6,This is 👩‍💼 🗣 💼,This is {1F469 + 200D + 1F4BC} {1F5E3} {1F4BC},"woman_office_worker, speaking_head, briefcase"
This is brain [EM] brain [EM] globe_showing_Americas.,This is common sailor.,0,6,This is 🧠 🧠 🌎,This is {1F9E0} {1F9E0} {1F30E},"brain, brain, globe_showing_Americas"
This is palms_up_together [EM] mobile_phone.,This is common sailor.,0,6,This is 🤲 📱,This is {1F932} {1F4F1},"palms_up_together, mobile_phone"
This is grimacing_face [EM] clipboard [EM] keycap_1 [EM] keycap_2 [EM] keycap_3.,This is common sailor.,0,6,This is 😬 📋 1⃣ 2⃣ 3⃣,This is {1F62C} {1F4CB} {31 + FE0F + 20E3} {32 + FE0F + 20E3} {33 + FE0F + 20E3},"grimacing_face, clipboard, keycap_1, keycap_2, keycap_3"
This is grimacing_face [EM] clipboard [EM] keycap_1 [EM] keycap_2 [EM] keycap_3.,This is common sailor.,0,6,This is 😬 📋 1⃣ 2⃣ 3⃣,This is {1F62C} {1F4CB} {31 + FE0F + 20E3} {32 + FE0F + 20E3} {33 + FE0F + 20E3},"grimacing_face, clipboard, keycap_1, keycap_2, keycap_3"
This is man.,This is common housefly.,0,6,This is 👨,This is {1F468},
This is palms_up_together [EM] man.,This is common housefly.,0,6,This is 🤲 👨,This is {1F932} {1F468},"palms_up_together, man"
This is handshake [EM] desert_island.,This is common housefly.,0,6,This is 🤝 🏝,This is {1F91D} {1F3DD},"handshake, desert_island"
This is desktop_computer.,This is common housefly.,0,6,This is 🖥,This is {1F5A5},
This is play_button [EM] brain.,This is common housefly.,0,6,This is ▶ 🧠,This is {25B6} {1F9E0},"play_button, brain"
This is national_park.,This is common housefly.,0,6,This is 🏞,This is {1F3DE},
This is palms_up_together [EM] sailboat [EM] man.,This is common housefly.,0,6,This is 🤲 ⛵ 👨,This is {1F932} {26F5} {1F468},"palms_up_together, sailboat, man"
This is handshake [EM] desert_island.,This is common housefly.,0,6,This is 🤝 🏝,This is {1F91D} {1F3DD},"handshake, desert_island"
This is national_park.,This is common man.,0,6,This is 🏞,This is {1F3DE},
This is clapping_hands [EM] boy [EM] person_curly_hair.,This is common man.,0,6,This is 👏 👦 🧑‍🦱,This is {1F44F} {1F466} {1F9D1 + 200D + 1F9B1},"clapping_hands, boy, person_curly_hair"
This is grimacing_face [EM] clipboard [EM] keycap_1 [EM] keycap_2 [EM] keycap_3.,This is common man.,0,6,This is 😬 📋 1⃣ 2⃣ 3⃣,This is {1F62C} {1F4CB} {31 + FE0F + 20E3} {32 + FE0F + 20E3} {33 + FE0F + 20E3},"grimacing_face, clipboard, keycap_1, keycap_2, keycap_3"
